id,INDICIO,TIPO DE INDICIO,COLOR,MARCA,TALLA,OBSERVACIONES,LINK FOTO
632,97L,CALZADO,NEGRO-BLANCO,S/I,S/I,SANDALIAS,https://drive.google.com/open?id=1voi03Qp754y2Qi2YNeygSip8Hol4ZtvY&usp=drive_copy
633,98L,CALZADO,NEGRO,SPORT,S/I,SANDALIAS,https://drive.google.com/open?id=1g1KDQOGIbNwkgxtQ7Xfh0vmCqK5S_y9P&usp=drive_copy
634,99L,CALZADO,NEGRO,S/I,S/I,SANDALIAS,https://drive.google.com/open?id=1hYLlb4rTeAz922cUvsLjvoDeN7Zj23yZ&usp=drive_copy
635,100L,CALZADO,AZUL,S/I,S/I,SANDALIAS,https://drive.google.com/open?id=1vsIiJ6wuYM7ImEn1iIxoPb0AdzKjc-Im&usp=drive_copy
636,101L,CALZADO,NEGRO,S/I,S/I,SANDALIAS,https://drive.google.com/open?id=1FqskEmBSmbKciLcwp1Nat6lwvX9G-sWC&usp=drive_copy
637,102L,CALZADO,AZUL,S/I,S/I,CINTAS AZULES,https://drive.google.com/open?id=1GftPO6qlHrkWalX1CdkdjGBaXh0tRkgs&usp=drive_copy
638,103L,CALZADO,CAFÉ,S/I,S/I,CINTAS CAFÉS,https://drive.google.com/open?id=1Uk-_d4-RQLT-lbPhqcU3ws2KqvsiIjUn&usp=drive_copy
639,104L,CALZADO,NEGRO,S/I,S/I,CINTAS NEGRAS,https://drive.google.com/open?id=1OoR0yUqcrCIjzK_6Rin2-UBltxnJa90Y&usp=drive_copy
640,105L,CALZADO,BLANCO,REEBOK,S/I,SIN CINTAS,https://drive.google.com/open?id=16FF6JIA-Tq5Yz2vbnAVZe6fV5qrpDf7s&usp=drive_copy
641,106L,CALZADO,NEGRO,FASHION SPORT,S/I,SANDALIA,https://drive.google.com/open?id=1NE53Xj9Qe8JWSLqHIHIXAhm7U5PbLMht&usp=drive_copy
642,107L,CALZADO,NEGRO,S/I,S/I,CINTA NEGRA,https://drive.google.com/open?id=1nNMg5fWewPf4YnE4gPW5JpIwZhwFPxMN&usp=drive_copy
643,1M,BOXERS,ROJO,KOSNEL,S/I,BOXERS ROJOS CON RESORTE CAFE,https://drive.google.com/file/d/1EKJUeuoiooeuexAXEV2tbSOLK_lR-AGb/view?usp=sharing
644,2M,BOXERS,ROJO / NEGRO,DARONG,S/I,ROJOS CON NEGRO DIBUJO DE LOBO,https://drive.google.com/file/d/1vPj7-6uijWato1RUiH6AhV0nX2N62hUR/view?usp=sharing
645,3M,BOXERS,BLANCOS,RIMBROS,S/I,BOXERS BLANCOS,https://drive.google.com/file/d/1Crf0jEh-QFw-O82RWiKRPKq0EPdKvm7c/view?usp=sharing
646,4M,BOXERS,AZULES,FRUIT OF DE LOOM,S/I,CALZONES AZULES CON BRAGUETA NEGRA,https://drive.google.com/file/d/1Ej0jxXs1g5OIdxmD0mswkXfWK1zfIW9T/view?usp=sharing
647,5M,BOXERS,ROJOS,NINJA,S/I,CALZONES ROJOS CON DIBUJO Y LETRA DE NINJA,https://drive.google.com/file/d/13ajp0WFEvis6grT-U5rplyQCahwj-j4U/view?usp=sharing
648,6M,BOXERS,GRIS,POLO,S/I,CALZONES GRISES,https://drive.google.com/file/d/1XvXm50qRRzoLQvnHOLRY3RqOgIoMM6rI/view?usp=sharing
649,7M,BOXERS,AZUL / ROJO,DIESEL,S/I,AZUL CON DIBUJO ROJO,https://drive.google.com/file/d/18dqFJvy9-egD4mmaaHcJM9Pk9bzY0Jsn/view?usp=sharing
650,8M,BOXERS,ROJO / NEGRO,LUPO,S/I,ROJO CON ROMBROS NEGROS,https://drive.google.com/file/d/18XzG51uZlIUCSpL2cLzWJ6QNYyois7QX/view?usp=sharing
651,9M,BOXERS,AZUL / ROJO,DIESEL,S/I,AZULES CON DIBUJO ROJO,https://drive.google.com/file/d/14khRitEV7VkAJWf6wa2U5NRLs_bIQNjx/view?usp=sharing
652,10M,BOXERS,ROJO / NEGRO / BLANCO,MEN,S/I,ROJO CON RAYAS NEGRAS Y BLANCAS,https://drive.google.com/file/d/1OuFppqSlx9rMS-KINWODkrUhqVEXom3H/view?usp=sharing
653,11M,BOXERS,GRISES / ROJO,DIESEL,S/I,GRIS CON DIBUJO ROJO,https://drive.google.com/file/d/1hSORFYFUaLCdaz1K97QGo-b9w8XxRcIh/view?usp=sharing
654,12M,BOXERS,AMARILLO / AZUL,S/I,S/I,COMBINACIÓN DE COLORES AMARILLLO Y AZUL,https://drive.google.com/file/d/1KgGEnj705fQXWpVBHo-MeflClpFVTSGH/view?usp=sharing
655,13M,BOXERS,BLANCO / GRIS,S/I,S/I,BOXERS BLANCOS CON RAYAS GRISES,https://drive.google.com/file/d/1xYXXhImXN6cwt5Lp8Z4vR4xD5qh3I7QS/view?usp=sharing
656,14M,BOXERS,GRIS,S/I,S/I,GRISES CON DIBUJOS DE CERVEZA,https://drive.google.com/file/d/1GRXVkhUdrb6QdFEEahQqZlLs_yc28bUH/view?usp=sharing
657,15M,BOXERS,ROJOS,KNOCKER,S/I,CALZONES ROJOS CON LETRAS NEGRAS,https://drive.google.com/file/d/1-weA-T1Uwn9knXtFjyAPLwBgD_OVI7Fq/view?usp=sharing
658,16M,BOXERS,AZUL / BLANCO,S/I,S/I ,AZUL CON RAYAS AZULES Y BLANCAS,https://drive.google.com/file/d/1oo4EQxaJO5TdvxFNWhp2B9IvGv6malq0/view?usp=sharing
659,17M,BOXERS,NEGROS,CALVIN KLEIN,S/I,BOXERS NEGROS CON LETRAS BLANCAS EDE CLAVIN KLEIN EN TODO EL BOXER,https://drive.google.com/file/d/1zW_oorfXNMWUmPY88EfOX3dYvE27PKSX/view?usp=sharing
660,18M,BOXERS,ROJOS / NEGRO,S/I,S/I,BOXERS ROJOS CON LETRAS NEGRAS,https://drive.google.com/file/d/1Cmn8xXh7LVftRGnQ3CT_6zPjQ8T_QleL/view?usp=sharing
661,19M,BOXERS,NEGRO,S/I,S/I,BOXERS SENCILLOS EN COLOR NEGRO,https://drive.google.com/file/d/1EiGCgXOFRvbym4DW48RQYEzxKeFPjdU6/view?usp=sharing
662,20M,BOXERS,BLANCOS,S/I,S/I,BOXERS BLANCOS CON DIBUJOS DE CARTAS DE JUUEGO ,https://drive.google.com/file/d/1dPjsN7Njg1yhhXi9LnBPQr8gdoWCMyPd/view?usp=sharing
663,21M,BOXERS,AZUL,WEARWOLF,S/I,BOXERS AZULES CON DIBUJO DE UN PERRO Y LETRAS BULLS,https://drive.google.com/file/d/1U-u0M2gyPkugYOFqbWl5mGQiJB8cXQS5/view?usp=sharing
664,22M,BOXERS,AZUL,UOMO,S/I,BOXERS SENCILLOS EN COLOR AZUL,https://drive.google.com/file/d/1vvN5-5fQ9BzFcA1HIzrSDQH5-Fz-uFLo/view?usp=sharing
665,23M,BOXERS,AZUL,MEN,S/I,BOXERS AZULES CON LETRAS BLANCAS,https://drive.google.com/file/d/1nfZnNhsw4PqmDaei7OzYSBXSUd8MC3JZ/view?usp=sharing
666,24M,BOXERS,NEGRO / VERDE,HPC POLO,S/I,NEGRO CON LETRAS Y RAYAS VERDES,https://drive.google.com/file/d/1vV7pNhwSdK8KZwVMko67HYeoxyC3vTpF/view?usp=sharing
667,25M,BOXERS,AZULES,SPÓRT,S/I,BOXERS AZULES CON RESORTE BLANCO,https://drive.google.com/file/d/1OLBFqqJtnvwzYEtLQ89Am2t73OkLLqoE/view?usp=sharing
668,26M,BOXERS,AZULES,CAREVO KIN,,BOXERS AZULES CON LETRAS NEGRAS,https://drive.google.com/file/d/1NkZxciPmPkUHEReUVb9tDfgcYHemXj5f/view?usp=sharing
669,27M,BOXERS,NEGRO / ROJO,SOCCER,S/I,BOXERS NEGROS CON LETRAS ROJAS,https://drive.google.com/file/d/1NkZxciPmPkUHEReUVb9tDfgcYHemXj5f/view?usp=sharing
670,28M,BOXERS,NEGRO / ROJO,DARONG,S/I,BOXERS NEGROS CON LETRAS ROJAS,https://drive.google.com/file/d/1AjVVaXOuml4RpR1ESjLz6aI6tCrHGo7f/view?usp=sharing
671,29M,BOXERS,NEGRO / BLANCO,MEN,S/I,BOXERS NEGROS CON LINEAS BLANCAS,https://drive.google.com/file/d/1adquaoLEHngBbRE2jg6AzqT_W7lNvAmT/view?usp=sharing
672,30M,BOXERS,VERDE / NEGRO / AMARILLO,PLACE COMMON,S/I,BOXERS CAMUFLADOS,https://drive.google.com/file/d/1IfObRHOHE8GQXkC63cCsqEj4R4kmy-LD/view?usp=sharing
673,31M,BOXERS,AZUL / ROJO,MEN,S/I,BOXERS AZUL CON LETRAS ROJAS,https://drive.google.com/file/d/1SHQgsRg3W6SqNkYXlxOKK1a7WRYGvP2R/view?usp=sharing
674,32M,BOXERS,AZUL,S/I,S/I,BOXERS AZULES CON LINEAS AZULES,https://drive.google.com/file/d/1u_o07C_s9pwG7-fFC5A3OkHMqVB-P_kI/view?usp=sharing
675,33M,BOXERS,GRIS,CALVIN KLEIN,S/I,BOXERS GRIS RESORTE GRIS CON NEGRO,https://drive.google.com/file/d/1dBRwMjraaINs4IR0YLHaD5VvljtymZRp/view?usp=sharing
676,34M,BOXERS,VERDES,S/I,S/I,BOXERS VERDES SENCILLOS,https://drive.google.com/file/d/1xSssz7XL-76fYIysJwwN9cOamIL0Xa4D/view?usp=sharing
677,35M,BOXERS,NEGRO / BLANCO,CONTI ROMANEE,S/I,BOXERS NEGROS CON DIBUJOS EN COLOR BLANCO,https://drive.google.com/file/d/1PTgm6GYUBVYxORgeu2FU57ailtOFmIq2/view?usp=sharing
678,36M,BOXERS,ROJJO / NEGRO,MEN,S/I,BOXERS ROJOS CON LETRAS NEGRAS,https://drive.google.com/file/d/1uxIm721JhN8zcFcdK49HrBp1baaabDvp/view?usp=sharing
679,37M,BOXERS,NEGROS,EAGLE AMERICAN,S/I,BOXERS NEGROWS CON ESTAMPADO DE AGUILAS EN COLOR BLANCO,https://drive.google.com/file/d/171M47tv9Bd35vuZXnbLCjHsdjzFiZNOM/view?usp=sharing
680,38M,BOXERS,ROJO / NEGRO,LASCO,S/I,BOXERS ROJOS CON LETRAS NEGRAS,https://drive.google.com/file/d/1iAPSnMfJmWIpssZiKgYf4c1M1Yv9Tvsm/view?usp=sharing
681,39M,BOXERS,AZUL / ROJO,ASPE,S/I,BOXERS AZULES CON ROMBOS ROJOS,https://drive.google.com/file/d/1mOtltiYHEir6Jy0QHNZAZ3BssHA5Togy/view?usp=sharing
682,40M,BOXERS,AZULES,BETOSK,S/I,BOXERS AZULES SENCILLOS,https://drive.google.com/file/d/1ZdUb2jwsMsa-6-CN7pLd5xkquUUBSrYF/view?usp=sharing
683,41M,TRUSA ,BLANCA,S/I,S/I,TRUSA SENCILLA BLANCA,https://drive.google.com/file/d/1Hdp8grZvtB16TboHMPYsSH3oqCXHTmuj/view?usp=sharing
684,42M,BOXERS,AZULES,S/I,S/I,BOXERS AZULES CON RAYAS AZULES,https://drive.google.com/file/d/1x8-uLjaqaJK_aFSYC_IKw09QSLrOUWXb/view?usp=sharing
685,43M,BOXERS,ROJOS,POLO,S/I,BOXERS ROJOS CON  LETRAS NEGRAS,https://drive.google.com/file/d/1-cxs5LL6kMeoVnR-a2qV_gdv3Z6ifYpv/view?usp=sharing
686,44M,BOXERS,NEGROS,MEN´S,S/I,BOXERS SENCILLOS NEGROS,https://drive.google.com/file/d/152hlxx8EBONTdFc8oy3RmiVzaPoPW8h_/view?usp=sharing
687,45M,TRUSA ,NEGRA,S/I,S/I,TRUSA NEGRA SENCILLA,https://drive.google.com/file/d/1TzBlAGxxZqMtZAEx4uUVAQDgKloL7kWh/view?usp=sharing
688,46M,BOXERS,AZULES,S/I,S/I,BOXERS AZULES CON LETRAS NEGRAS,https://drive.google.com/file/d/18MlSzxuaGdrN1Jju-RjrV9VHF93dE_Yo/view?usp=sharing
689,47M,BOXERS,AZULES / NEGRO,S/I,S/I,BOXERS AZULES CON LETRAS NEGRAS,https://drive.google.com/file/d/1Yrlj3TpQxiXaIvLtJwuuaDhpR1YbkcOx/view?usp=sharing
690,48M,BOXERS,BLANCO / AZUL,S/I,S/I,BOXERS A CUADROS BLANCO CON AZUL,https://drive.google.com/file/d/1q-TBDfeYx9sMQSlhTcrdF1wBCe93VTfj/view?usp=sharing
691,49M,BOXERS,NEGROS,UOKIN,S/I,BOXERS NEGROS SENCILLOS,https://drive.google.com/file/d/1g4jTvuKtRwGDrOv58nCI4UqENputPZcA/view?usp=sharing
692,50M,BOXERS,AZUL,S/I,S/I,BOXERS AZUL SENCILLOS,https://drive.google.com/file/d/1mI5D2txTR8hzTW-iWHjrSRtFgUSg4BLZ/view?usp=sharing
693,51M,ROPA INTERIOR,NEGRO,EURO,S/I,LETRAS NARANJAS,https://drive.google.com/open?id=1N_UHBywdXM0IpGdSoIBQBMCnbuceBWj2&usp=drive_copy
694,52M,ROPA INTERIOR,NEGRO,SPORT,S/I,CABALLOS AZULES,https://drive.google.com/open?id=1qgUQ1gK5FuEzeXAXzFu1j62PNNLDJ83f&usp=drive_copy
695,53M,ROPA INTERIOR,AZUL,MEN,S/I,LETRAS AZULES,https://drive.google.com/open?id=13ZwIq1xF55_0OrAzwxld6LaWB2mKNJ9V&usp=drive_copy
696,54M,ROPA INTERIOR,NEGRO,MEN,S/I,LETRAS GRISES,https://drive.google.com/open?id=1Hl5ladrqLJcpFzGSkfOMpbFowUui0NRZ&usp=drive_copy
697,55M,ROPA INTERIOR,AZUL,VILE JACK,S/I,LETRAS NEGRAS,https://drive.google.com/open?id=1JixyQF3vuLw0snSDdF5g-57ZRqEGZDMs&usp=drive_copy
698,56M,ROPA INTERIOR,AZUL,DARONG,S/I,LETRAS NEGRAS,https://drive.google.com/open?id=1kdkISH9_Lz5_--C7jOVPzy274hWNJS6X&usp=drive_copy
699,57M,ROPA INTERIOR,NEGRO,S/I,S/I,CONEJO,https://drive.google.com/open?id=1xFdjBTf-fdVWkDrok49I-6NP7YRMWqmG&usp=drive_copy
700,58M,ROPA INTERIOR,NEGRO-GRIS,DARONG,S/I,LETRAS NEGRAS,https://drive.google.com/open?id=1fbV_crDCR_YKEwlXWQrVuk0zhZa2Qvsg&usp=drive_copy
701,59M,ROPA INTERIOR,AZUL,DARONG,S/I,ESCUDO,https://drive.google.com/open?id=1QpdNFmCYWiJikAXhHsF9EgcSS9KQadcj&usp=drive_copy
702,60M,ROPA INTERIOR,AZUL,S/I,S/I,LÍNEAS AMARILLAS,https://drive.google.com/open?id=1W-hCirB0ZjAUIkAbqenEwz9_TsOrhmU1&usp=drive_copy
703,61M,ROPA INTERIOR,MORADO,WEEKEND,S/I,CON CUADROS,https://drive.google.com/open?id=1oAwp-ZzNsjE5EsAhitgG2P5NPtQBNIji&usp=drive_copy
704,62M,ROPA INTERIOR,NEGRO,KNOCKER,S/I,LETRAS GRISES,https://drive.google.com/open?id=1qiT0fgas0ACredQVosk3dQpQLasJd7iy&usp=drive_copy
705,63M,ROPA INTERIOR,AZUL,POLO,S/I,FRANJA ROJA,https://drive.google.com/open?id=1_m4rJ0C22u2F048T-4RI5kPs8ZtZZqoW&usp=drive_copy
706,64M,ROPA INTERIOR,ROJO,S/I,S/I,CUADROS AZULES,https://drive.google.com/open?id=1sV-xql6X1rwOLr9m6nXLiYOvPGhhDFLN&usp=drive_copy
707,65M,ROPA INTERIOR,AZUL,MEN,S/I,CABALLO ROJO,https://drive.google.com/open?id=1jbfwjvZE5z49shEOCiipXzjaHiA696mv&usp=drive_copy
708,66M,ROPA INTERIOR,VERDE,PROBOX,S/I,TIGRE,https://drive.google.com/open?id=17l_ob8yQGYpLs2Kp7aQlxOnSFa_aVF1X&usp=drive_copy
709,67M,ROPA INTERIOR,GRIS,REFILL,S/I,FRANJA NEGRA,https://drive.google.com/open?id=1IDmFP2Mx7-LnKBYTBr4EWPPlJOmGhmvi&usp=drive_copy
710,68M,ROPA INTERIOR,NEGRO,ECKO,S/I,RINOCERONTE,https://drive.google.com/open?id=1-_NMAjSGgpp3g3PsJTVcFtf1iXYm2zqo&usp=drive_copy
711,69M,ROPA INTERIOR,NEGRO,SPORT,S/I,LÍNEAS BLANCAS,https://drive.google.com/open?id=1rEGNi5qu_PgqG_JZaeq8UmQ06RkMSoWH&usp=drive_copy
712,70M,ROPA INTERIOR,NEGRO,S/I,S/I,SIN OBSERVACIONES,https://drive.google.com/open?id=1HQB_kR3QsRwNxEM7__QCwQQ0k8O2vvUu&usp=drive_copy
713,71M,ROPA INTERIOR,GRIS,SPORT,S/I,FRANJA AZUL,https://drive.google.com/open?id=18990dKMipktFWJduX0npT19FvlaoQDeX&usp=drive_copy
714,72M,ROPA INTERIOR,NEGRO-BLANCO,S/I,S/I,SIN OBSERVACIONES,https://drive.google.com/open?id=1Fc_N5v8BUuWG9A8BjRdtFlSWpihklMAM&usp=drive_copy
715,73M,ROPA INTERIOR,S/I,UOMO,S/I,FRANJA NEGRA,https://drive.google.com/open?id=1ChOn-UiGiW4v6Fj5rJg964RK0kJc9ljv&usp=drive_copy
716,74M,ROPA INTERIOR,GRIS,UOMO,S/I,LETRAS BLANCAS,https://drive.google.com/open?id=18vy5ntVdSv4kA1_YzIZ84D7uzD3mSJ9e&usp=drive_copy
717,75M,ROPA INTERIOR,ROJO,NAUTICA,S/I,FRANJA NEGRA,https://drive.google.com/open?id=1CpKYOg7t-WlNlmGXqfIKI38eYL_Zt5pJ&usp=drive_copy
718,76M,ROPA INTERIOR,AZUL,POLO,S/I,FRANJA NEGRA,https://drive.google.com/open?id=1mGObcSjeFmAr3ZwMN8M5CU4kfhGpjIaM&usp=drive_copy
719,77M,ROPA INTERIOR,NEGRO-ROJO,PLAYBOY,S/I,ESTAMPADO ROJO,https://drive.google.com/open?id=1RHGspkgouVBf7mEYMMSjMtD7i7_6VQAQ&usp=drive_copy
720,78M,ROPA INTERIOR,AZUL,BETOS K,S/I,FRANJA NEGRA,https://drive.google.com/open?id=1DSEgiUtKe3PLbB29tAYWHzSFZw4XaXzI&usp=drive_copy
721,79M,ROPA INTERIOR,NEGRO,DIESEL,S/I,ESTAMPADO ROJO,https://drive.google.com/open?id=1Faz197PjygtWgSBgajlkIyNywROLWTjr&usp=drive_copy
722,80M,ROPA INTERIOR,GRIS - RAYAS AZULES,MEN,S/I,FRANJA CON LÍNEAS AZULES,https://drive.google.com/open?id=1IejEFsb5YlUyQfeY5KTO_-aPv47R8uml&usp=drive_copy
723,81M,ROPA INTERIOR,NEGRO,VILE JACK,S/I,ESTAMPADO TIGRE,https://drive.google.com/open?id=1W2iJCIhPPCcp6nIqCCrtW4bOnHoWLpVM&usp=drive_copy
724,82M,ROPA INTERIOR,GRIS-NEGRO,S/I,S/I,FRANJA GRIS,https://drive.google.com/open?id=1FcEJggqmaEuEm95wvjMsdw4S0RCXSd5X&usp=drive_copy
725,83M,ROPA INTERIOR,NEGRO,S/I,S/I,FRANJA CON LÍNEAS BLANCAS,https://drive.google.com/open?id=1cJXVAfbuy3hvPym4SzUQF3OzfCRp6lhQ&usp=drive_copy
726,84M,ROPA INTERIOR,NEGRO,CALVIN KLEIN,S/I,LETRAS BLANCAS,https://drive.google.com/open?id=1_8GoM4Ck17SqOSULjcoL-7Mtzqt8wgqt&usp=drive_copy
727,85M,ROPA INTERIOR,NEGRO-ROJO-AZUL,EMPORIO ARMANI,S/I,FRANJA ROJA,https://drive.google.com/open?id=1eNBeCheUvIzaeeXRAfPhZUrSapHxWbom&usp=drive_copy
728,86M,ROPA INTERIOR,AZUL-ROJO,LEOPOLDO,S/I,LETRAS ROJAS,https://drive.google.com/open?id=1pTKuFseqK1qtUi2f35K1oZSlq-DjXOSO&usp=drive_copy
729,87M,ROPA INTERIOR,NEGRO,POLO,S/I,LETRAS BLANCAS,https://drive.google.com/open?id=1ySoRG06lJ3gNHpZ72IMr2Wm7FyXMPmO8&usp=drive_copy
730,88M,ROPA INTERIOR,AZUL,BOXER,S/I,LETRAS AZULES,https://drive.google.com/open?id=1QsQ91F_XC6CLQOigfD9oZ4v3vmIcWRGs&usp=drive_copy
731,89M,ROPA INTERIOR,ROJO,KNOCKER,S/I,SIN OBSERVACIONES,https://drive.google.com/open?id=1CQk-kUDOIWaL6Y_abHQ26o2fLOieqtLJ&usp=drive_copy
732,90M,ROPA INTERIOR,NEGRO,CASCO,S/I,ESTAMPADO ROJO,https://drive.google.com/open?id=1CJQjPLK2bGPR52gZlEm2Q_tsDYB0GHD1&usp=drive_copy
733,91M,ROPA INTERIOR,GRIS,S/I,S/I,FRANJA NARANJA,https://drive.google.com/open?id=1sxJQ3w4WMrZ86orIiC8_uboJSMK_aVjF&usp=drive_copy
734,92M,ROPA INTERIOR,ROJO,VILE JACK,S/I,ESTAMPADO NEGRO,https://drive.google.com/open?id=1eTaY7no0Nk-DXUfxE1Mkof_V57cq_dya&usp=drive_copy
735,93M,ROPA INTERIOR,NEGRO,MEN,S/I,LÍNEAS AZULES,https://drive.google.com/open?id=1E4rtImpl27yRhHdaXZ2zHVbMQJ07cemv&usp=drive_copy
736,94M,ROPA INTERIOR,ROJO-BLANCO- AZUL,S/I,S/I,LÍNEAS BLANCAS Y AZULES,https://drive.google.com/open?id=1kRSHI0BdmaKNN5fEoUfupi9UNtsuIL1D&usp=drive_copy
737,95M,ROPA INTERIOR,NEGRO,DARONG,S/I,FRANJA ROJA,https://drive.google.com/open?id=1qS1yp9glV_bMFVqwefg723EEfoyFHB53&usp=drive_copy
738,96M,ROPA INTERIOR,NEGRO,MEN,S/I,LETRAS VERDES,https://drive.google.com/open?id=1kEFY2mvayd8-SGMHUcVPUSp4kPl8DC6N&usp=drive_copy
739,97M,ROPA INTERIOR,NEGRO,MEN,S/I,CON LÍNEAS,https://drive.google.com/open?id=1bQb03fnReHPG1Pj-iKIb3l-2mP1pmh-Z&usp=drive_copy
740,1P,PANTALON,NEGRO,WATERPROOF,L,S/D,https://drive.google.com/open?id=1DCgP-wYE4cLB6oBBJG40H-dv8HDPCpiJ&usp=drive_copy
741,2P,PANTALON,NEGRO,LEVIS,32,S/D,https://drive.google.com/open?id=1znKBgyMtLOodsC4luDEuozi4MStEKbxb&usp=drive_copy
742,3P,PANTALON,NEGRO,COLUMBIA,S/D,S/D,https://drive.google.com/open?id=1yA04lvWnqT-2fOP_7RlxijzMGbrMNG3S&usp=drive_copy
743,4P,PANTALON,NEGRO,ALTO MANDO,S/D,S/D,https://drive.google.com/open?id=1hqkxK1rej6XEUaIoV-jHXChtV8m4ZPPn&usp=drive_copy
744,5P,PANTALON,NEGRO,S/D,XXXL,S/D,https://drive.google.com/open?id=1WPl7iLda5Lwi8xMyG76IWLHBq276-jvX&usp=drive_copy
745,6P,PANTALON,NEGRO,LEVIS,30,S/D,https://drive.google.com/open?id=158Is06pvwodh3-N8YMn8IoioNqJXMJ_H&usp=drive_copy
746,7P,PANTALON,NEGRO,LEVIS,32,S/D,https://drive.google.com/open?id=1YYdQYDc-KzmS3oEJXDRFXEEg0_Qkgefz&usp=drive_copy
747,8P,PANTALON,NEGRO,DENIM SOUL,S/D,S/D,https://drive.google.com/open?id=1-tKxCIHbMN-zxiXcNtmwg0WcPos6nPzj&usp=drive_copy
748,9P,PANTALON,NEGRO,LUCKY STAR,28,S/D,https://drive.google.com/open?id=1vrYwAuKZO3aUeLVSulusUYED26ehYlo4&usp=drive_copy
749,10P,PANTALON,NEGRO,D TROLL,28,S/D,https://drive.google.com/open?id=1sj9SYaXAQnGBlPYFxlJyFt1VmIY5S2MY&usp=drive_copy
750,11P,PANTALON,AZUL,BARUS,34,S/D,https://drive.google.com/open?id=19D7S5lC2llinPyveaGJEzFyQCD3ArX1z&usp=drive_copy
751,12P,PANTALON,AZUL,LEVIS,34,ETIQUETA PEQUEÑA CON EL NUMERO 501 EN LA PARTE INTERIOR,https://drive.google.com/open?id=12lmouY-WhcgJL5OEiLwuZmlSXuWZGS5M&usp=drive_copy
752,13P,PANTALON,NEGRO,WALTERPROOF,L,S/D,https://drive.google.com/open?id=1vqHbDoIeclxoY2PKrRNjMlzduv4EAmXM&usp=drive_copy
753,14P,PANTALON,NEGRO,S/D,XXL,S/D,https://drive.google.com/open?id=1aPpkvTk6pDeV7Ag-9geXqYUBFR5YQZTO&usp=drive_copy
754,15P,PANTALON,NEGRO,SPORT WEAR,34,S/D,https://drive.google.com/open?id=1CD6yw5vs8N3SlPZz1_W5cPDEjf0DHj0Y&usp=drive_copy
755,16P,PANTALON,AZUL,GAP,12,ETIQUETA PEQUEÑA COLOR BLANCO EN LA PARTE INTERIOR,https://drive.google.com/open?id=1yPeVn79KAJZZG2tk3ZYS4DAgwB8kmI-v&usp=drive_copy
756,17P,PANTALON,NEGRO,AMERICA EAGLE,28,PANTALON RASGADO POR LA PARTE FRONTAL,https://drive.google.com/open?id=1HgRFqxvocXqwA1jP1azOsXlNh3qihTWn&usp=drive_copy
757,18P,PANTALON,NEGRO,LEVIS,30,ETIQUETA PEQUEÑA COLOR TINTA EN LA PARTE INTERIOR,https://drive.google.com/open?id=14BPx_iVTOhs7IdZoWT2Vi2hbdnVccq9P&usp=drive_copy
758,19P,PANTALON,NEGRO,S/D,30,S/D,https://drive.google.com/open?id=1situE3GX9J2V7zZaxSu6a8_sGA5WxPab&usp=drive_copy
759,20P,PANTALON,NEGRO,OGGI,31,ETIQUETA PEQUEÑA COLOR AZUL EN LA PARTE INTERIOR,https://drive.google.com/open?id=1y-6sztPKxx5ccOZkazTrm8g1ZngyR5OJ&usp=drive_copy
760,21P,PANTALON,NEGRO,GOLDEN LEVEL,34,ETIQUETA PEQUEÑA COLOR BLANCO EN LA PARTE INTERIOR,https://drive.google.com/open?id=1GOxhVix0D8iCTuwRlLKy3YgL8Wgqm3YB&usp=drive_copy
761,22P,PANTALON,NEGRO,DENIM UNTAMED,28,LETRAS ROJAS Y GRISES EN LA PARTE INTERIOR CON EL NOMBRE DE LA MARCA,https://drive.google.com/open?id=1synpk-U6i2nDZ9Xq3xS9-WMLOvoD7QVb&usp=drive_copy
762,23P,PANTALON,NEGRO,S/D,XXL,LINEAS DE UN COLOR MAS CLARO EN ORIENTACION VERTICAL,https://drive.google.com/open?id=1AM15dfmclVqfPMitmRLpdBUOKe6o-GWy&usp=drive_copy
763,24P,PANTALON,NEGRO,OGGI,34,S/D,https://drive.google.com/open?id=1unXO5Fo70GtvxV3s038nBONpMCMUv-fs&usp=drive_copy
764,25P,PANTALON,NEGRO,LEVIS,32,ETIQUETA PEQUEÑA COLOR TINTA EN LA PARTE INTERIOR,https://drive.google.com/open?id=1pVKPxqLPcvTYfyW0xSZ5YVyxkHTD9JRG&usp=drive_copy
765,26P,PANTALON,NEGRO,INDIGO RAW,32,ETIQUETA PEQUEÑA EN LA PARTE INTERIOR,https://drive.google.com/open?id=1o-SC5QbcxYtzwg4Mresdg0EE8B6A6_sF&usp=drive_copy
766,27P,PANTALON,NEGRO,FRIED DENIM,38,S/D,https://drive.google.com/open?id=12u6jAX9KKF8ZvKeMNZKT9VKYej8sJQdH&usp=drive_copy
767,28P,PANTALON,NEGRO,ALTEC,34,1 BOLSO RECTANGULAR EN AMBOS COSTADOS,https://drive.google.com/open?id=1aRzni5LIXt5GTKFz9QiqKGxa1R7n6I6M&usp=drive_copy
768,29P,PANTALON,NEGRO,OGGI,32,ETIQUETA PEQUEÑA EN LA PARTE INTERIOR,https://drive.google.com/open?id=1Sd_ugk7sDgK9LOEq4m4hgb3ncdP4RNLD&usp=drive_copy
769,30P,PANTALON,GRIS,D ALEX,32,COLOR DESLAVADO EN LA PARTE CENTRAL,https://drive.google.com/open?id=14j2-uHXldHXc18EPU16R7VC1CC83GR9P&usp=drive_copy
